,Job Title,Company,Location,Date,Month,Count,Category
889,Electro Mechanical Technician,Philka Group,"Mount Lebanon, Lebanon",8/2/21,8,1,Technician
890,Sales Consultant,Confidential.,"Mount Lebanon, Lebanon",8/2/21,8,1,Sales Person
891,Sales Representative,Orjoan,"Mount Lebanon, Lebanon",8/5/21,8,1,Sales Person
892,Production Maintenance Supervisor,Compagnie Des Sources Du Liban - Sannine,"Mount Lebanon, Lebanon",8/16/21,8,1,advisor
894,Junior Accountant,Bv,"Mount Lebanon, Lebanon",8/10/21,8,1,Accountant
895,Graphic Designer,Addbloom,"Mount Lebanon, Lebanon",8/6/21,8,1,Designer
896,Potential Sales Unit Manager,Angels Unit,"Mount Lebanon, Lebanon",8/5/21,8,1,Sales Person
897,Unity 3D Developer,Growth Technology Llc,"Mount Lebanon, Lebanon",8/3/21,8,1,Software Developer
898,Software Engineer,Anexya,"Mount Lebanon, Lebanon",8/4/21,8,1,Engineer
899,Business Analyst,Novelus,"Mount Lebanon, Lebanon",8/12/21,8,1,Analyst
900,Graphic Designer,Librairie Antoine,"Mount Lebanon, Lebanon",8/5/21,8,1,Designer
901,Intermediate Rf Engineer,Novelus,"Mount Lebanon, Lebanon",8/11/21,8,1,Engineer
904,Mobility Therapist (195 Days),Dallas Isd,"South, Lebanon",8/16/21,8,1,Therapist
905,"Teacher, Hospital/Homebound (191 Days)",Dallas Isd,"South, Lebanon",8/18/21,8,1,Teacher
906,"Teacher, Itinerant (195 Days)",Dallas Isd,"South, Lebanon",8/18/21,8,1,Teacher
907,Maintenance Technician,Nestl̩ Waters,"Mount Lebanon, Lebanon",8/6/21,8,1,Technician
908,Social Media Specialist,Menasa,"Mount Lebanon, Lebanon",8/2/21,8,1,Social Media
909,Junior Software Engineer,General Paint Co.,"Mount Lebanon, Lebanon",8/7/21,8,1,Engineer
910,Marketing Specialist,Olfki Sarl,"Mount Lebanon, Lebanon",8/19/21,8,1,Marketer
911,Mobile App Developer (Flutter),Abiroot,"Mount Lebanon, Lebanon",8/10/21,8,1,Software Developer
912,Hair And Makeup Artist,Mimi Jay,"South, Lebanon",8/7/21,8,1,Art
914,Heavy Equipment Technician,Soprel Liban,"Mount Lebanon, Lebanon",8/2/21,8,1,Technician
915,Sales Executive,Standard Group Lb,"North, Lebanon",8/16/21,8,1,Sales Person
919,Php Web Developer,Xtreme Media Solutions Pro,"Mount Lebanon, Lebanon",8/3/21,8,1,Software Developer
920,Sales Account Executive,Klangoo,"Mount Lebanon, Lebanon",8/12/21,8,1,Sales Person
921,Senior Product Manager,Poco,"Mount Lebanon, Lebanon",8/5/21,8,1,Manager
924,Sales Consultant,Fidelity Insurance,"Mount Lebanon, Lebanon",8/5/21,8,1,Sales Person
