Skill,Category of Skill,Importance_n,Level,Code,Profession,Importance1
Active Listening ,Basic Skills,74,57,13-2011.00,accountant,74
Reading Comprehension,Basic Skills,74,58,13-2011.00,accountant,74
Critical Thinking,Basic Skills,72,55,13-2011.00,accountant,72
Speaking,Basic Skills,70,55,13-2011.00,accountant,70
Writing,Basic Skills,69,52,13-2011.00,accountant,69
Judgement and Decision Making,Systems Skills,63,54,13-2011.00,accountant,63
Complex Problem Solving,Complex Problem Solving,61,51,13-2011.00,accountant,61
Active learning ,Basic Skills,58,50,13-2011.00,accountant,58
Time Management,Resource Management Skills,56,48,13-2011.00,accountant,56
Systems Analysis,Systems Skills,55,52,13-2011.00,accountant,55
Persuasion,Social Skills,53,47,13-2011.00,accountant,53
Coordination,Social Skills,52,46,13-2011.00,accountant,52
Social Perceptiveness,Social Skills,52,45,13-2011.00,accountant,52
Negotiation,Social Skills,50,44,13-2011.00,accountant,50
Sevice Orientation,Social Skills,50,45,13-2011.00,accountant,50
Learning Strategies,Basic Skills,49,43,13-2011.00,accountant,49
Management of Personnel Resources,Resource Management Skills,49,44,13-2011.00,accountant,49
Systems Evaluation,Systems Skills,49,49,13-2011.00,accountant,49
Instructing,Social Skills,47,46,13-2011.00,accountant,47
Reading Comprehension,Basic Skills,72,55,27-2011.00,Actor,72
Speaking,Basic Skills,72,57,27-2011.00,Actor,72
Active Listening ,Basic Skills,69,52,27-2011.00,Actor,69
Social Perceptiveness,Social Skills,69,54,27-2011.00,Actor,69
Critical Thinking,Basic Skills,50,43,27-2011.00,Actor,50
Time Management,Resource Management Skills,50,43,27-2011.00,Actor,50
Writing,Basic Skills,47,48,27-2011.00,Actor,47
Coordination,Social Skills,47,43,27-2011.00,Actor,47
Complex Problem Solving,Complex Problem Solving,47,37,27-2011.00,Actor,47
Judgement and Decision Making,Systems Skills,47,43,27-2011.00,Actor,47
Learning Strategies,Basic Skills,44,36,27-2011.00,Actor,44
Instructing,Social Skills,44,37,27-2011.00,Actor,44
Active learning ,Basic Skills,41,37,27-2011.00,Actor,41
Critical Thinking,Basic Skills,81,68,15-2011.00,Actuary,81
Judgement and Decision Making,Systems Skills,81,68,15-2011.00,Actuary,81
Reading Comprehension,Basic Skills,78,66,15-2011.00,Actuary,78
Active Listening ,Basic Skills,75,59,15-2011.00,Actuary,75
Complex Problem Solving,Complex Problem Solving,75,66,15-2011.00,Actuary,75
Systems Evaluation,Systems Skills,75,64,15-2011.00,Actuary,75
Speaking,Basic Skills,72,57,15-2011.00,Actuary,72
Systems Analysis,Systems Skills,72,64,15-2011.00,Actuary,72
Active learning ,Basic Skills,60,59,15-2011.00,Actuary,60
Writing,Basic Skills,60,57,15-2011.00,Actuary,60
Operations Analysis,Technical Skills,56,48,15-2011.00,Actuary,56
Time Management,Resource Management Skills,53,50,15-2011.00,Actuary,53
Learning Strategies,Basic Skills,50,50,15-2011.00,Actuary,50
Coordination,Social Skills,50,43,15-2011.00,Actuary,50
Instructing,Social Skills,50,50,15-2011.00,Actuary,50
Negotiation,Social Skills,50,45,15-2011.00,Actuary,50
Persuasion,Social Skills,50,52,15-2011.00,Actuary,50
Sevice Orientation,Social Skills,47,45,15-2011.00,Actuary,47
Social Perceptiveness,Social Skills,47,41,15-2011.00,Actuary,47
Management of Personnel Resources,Resource Management Skills,44,41,15-2011.00,Actuary,44
Management of Financial Resources,Resource Management Skills,41,48,15-2011.00,Actuary,41
Active Listening ,Basic Skills,72,57,29-1291.00,Acupuncturist,72
Critical Thinking,Basic Skills,69,55,29-1291.00,Acupuncturist,69
Social Perceptiveness,Social Skills,69,55,29-1291.00,Acupuncturist,69
Sevice Orientation,Social Skills,66,50,29-1291.00,Acupuncturist,66
Speaking,Basic Skills,63,55,29-1291.00,Acupuncturist,63
Judgement and Decision Making,Systems Skills,63,52,29-1291.00,Acupuncturist,63
Reading Comprehension,Basic Skills,60,57,29-1291.00,Acupuncturist,60
Active learning ,Basic Skills,53,46,29-1291.00,Acupuncturist,53
Writing,Basic Skills,53,50,29-1291.00,Acupuncturist,53
Complex Problem Solving,Complex Problem Solving,53,45,29-1291.00,Acupuncturist,53
Coordination,Social Skills,50,41,29-1291.00,Acupuncturist,50
Time Management,Resource Management Skills,50,41,29-1291.00,Acupuncturist,50
Systems Analysis,Systems Skills,47,41,29-1291.00,Acupuncturist,47
Systems Evaluation,Systems Skills,47,41,29-1291.00,Acupuncturist,47
Instructing,Social Skills,44,41,29-1291.00,Acupuncturist,44
Learning Strategies,Basic Skills,41,41,29-1291.00,Acupuncturist,41
Persuasion,Social Skills,41,39,29-1291.00,Acupuncturist,41
Active Listening ,Basic Skills,75,55,29-1141.01,Acute Care Nurse,75
Critical Thinking,Basic Skills,75,57,29-1141.01,Acute Care Nurse,75
Reading Comprehension,Basic Skills,75,64,29-1141.01,Acute Care Nurse,75
Speaking,Basic Skills,75,57,29-1141.01,Acute Care Nurse,75
Sevice Orientation,Social Skills,75,55,29-1141.01,Acute Care Nurse,75
Social Perceptiveness,Social Skills,75,66,29-1141.01,Acute Care Nurse,75
Active learning ,Basic Skills,69,55,29-1141.01,Acute Care Nurse,69
Coordination,Social Skills,69,55,29-1141.01,Acute Care Nurse,69
Complex Problem Solving,Complex Problem Solving,69,54,29-1141.01,Acute Care Nurse,69
Judgement and Decision Making,Systems Skills,69,57,29-1141.01,Acute Care Nurse,69
Writing,Basic Skills,63,52,29-1141.01,Acute Care Nurse,63
Instructing,Social Skills,60,57,29-1141.01,Acute Care Nurse,60
Learning Strategies,Basic Skills,53,52,29-1141.01,Acute Care Nurse,53
Time Management,Resource Management Skills,53,46,29-1141.01,Acute Care Nurse,53
Science,Basic Skills,50,45,29-1141.01,Acute Care Nurse,50
Negotiation,Social Skills,50,45,29-1141.01,Acute Care Nurse,50
Persuasion,Social Skills,50,45,29-1141.01,Acute Care Nurse,50
Management of Personnel Resources,Resource Management Skills,50,43,29-1141.01,Acute Care Nurse,50
Systems Analysis,Systems Skills,50,45,29-1141.01,Acute Care Nurse,50
Systems Evaluation,Systems Skills,50,46,29-1141.01,Acute Care Nurse,50
Operation Monitoring,Technical Skills,50,43,29-1141.01,Acute Care Nurse,50
Operation and Control,Technical Skills,47,39,29-1141.01,Acute Care Nurse,47
Instructing,Social Skills,78,52,25-2059.01,Adapted Physical Education Specialist,78
Active learning ,Basic Skills,75,55,25-2059.01,Adapted Physical Education Specialist,75
Active Listening ,Basic Skills,75,59,25-2059.01,Adapted Physical Education Specialist,75
Speaking,Basic Skills,75,57,25-2059.01,Adapted Physical Education Specialist,75
Social Perceptiveness,Social Skills,75,59,25-2059.01,Adapted Physical Education Specialist,75
Critical Thinking,Basic Skills,72,55,25-2059.01,Adapted Physical Education Specialist,72
Learning Strategies,Basic Skills,72,57,25-2059.01,Adapted Physical Education Specialist,72
Reading Comprehension,Basic Skills,72,57,25-2059.01,Adapted Physical Education Specialist,72
Writing,Basic Skills,72,55,25-2059.01,Adapted Physical Education Specialist,72
Sevice Orientation,Social Skills,72,54,25-2059.01,Adapted Physical Education Specialist,72
Judgement and Decision Making,Systems Skills,72,55,25-2059.01,Adapted Physical Education Specialist,72
Coordination,Social Skills,63,55,25-2059.01,Adapted Physical Education Specialist,63
Complex Problem Solving,Complex Problem Solving,56,48,25-2059.01,Adapted Physical Education Specialist,56
Persuasion,Social Skills,53,52,25-2059.01,Adapted Physical Education Specialist,53
Time Management,Resource Management Skills,53,46,25-2059.01,Adapted Physical Education Specialist,53
Systems Evaluation,Systems Skills,53,46,25-2059.01,Adapted Physical Education Specialist,53
Management of Personnel Resources,Resource Management Skills,50,41,25-2059.01,Adapted Physical Education Specialist,50
Systems Analysis,Systems Skills,50,43,25-2059.01,Adapted Physical Education Specialist,50
Negotiation,Social Skills,47,45,25-2059.01,Adapted Physical Education Specialist,47
Operation and Control,Technical Skills,72,54,51-9191.00,Adhesive Bonding Machine Operators and Tender,72
Operation Monitoring,Technical Skills,69,57,51-9191.00,Adhesive Bonding Machine Operators and Tender,69
Active Listening ,Basic Skills,53,39,51-9191.00,Adhesive Bonding Machine Operators and Tender,53
Speaking,Basic Skills,53,37,51-9191.00,Adhesive Bonding Machine Operators and Tender,53
Quality Control Analysis,Technical Skills,53,50,51-9191.00,Adhesive Bonding Machine Operators and Tender,53
Reading Comprehension,Basic Skills,50,36,51-9191.00,Adhesive Bonding Machine Operators and Tender,50
Coordination,Social Skills,50,43,51-9191.00,Adhesive Bonding Machine Operators and Tender,50
Time Management,Resource Management Skills,50,41,51-9191.00,Adhesive Bonding Machine Operators and Tender,50
Repairing,Technical Skills,50,41,51-9191.00,Adhesive Bonding Machine Operators and Tender,50
Troubleshooting,Technical Skills,50,43,51-9191.00,Adhesive Bonding Machine Operators and Tender,50
Critical Thinking,Basic Skills,47,39,51-9191.00,Adhesive Bonding Machine Operators and Tender,47
Social Perceptiveness,Social Skills,47,34,51-9191.00,Adhesive Bonding Machine Operators and Tender,47
Equipment Maintenance,Technical Skills,47,45,51-9191.00,Adhesive Bonding Machine Operators and Tender,47
Writing,Basic Skills,44,32,51-9191.00,Adhesive Bonding Machine Operators and Tender,44
Complex Problem Solving,Complex Problem Solving,44,36,51-9191.00,Adhesive Bonding Machine Operators and Tender,44
Systems Analysis,Systems Skills,44,37,51-9191.00,Adhesive Bonding Machine Operators and Tender,44
Active learning ,Basic Skills,41,34,51-9191.00,Adhesive Bonding Machine Operators and Tender,41
Judgement and Decision Making,Systems Skills,41,36,51-9191.00,Adhesive Bonding Machine Operators and Tender,41
Active Listening ,Basic Skills,81,79,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",81
Critical Thinking,Basic Skills,81,73,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",81
Reading Comprehension,Basic Skills,81,68,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",81
Writing,Basic Skills,78,70,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",78
Judgement and Decision Making,Systems Skills,78,70,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",78
Speaking,Basic Skills,75,68,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",75
Social Perceptiveness,Social Skills,72,57,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",72
Complex Problem Solving,Complex Problem Solving,72,57,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",72
Active learning ,Basic Skills,69,59,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",69
Negotiation,Social Skills,56,50,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",56
Time Management,Resource Management Skills,56,48,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",56
Learning Strategies,Basic Skills,50,41,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",50
Coordination,Social Skills,50,41,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",50
Persuasion,Social Skills,50,52,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",50
Sevice Orientation,Social Skills,50,41,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",50
Instructing,Social Skills,44,41,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",44
Systems Analysis,Systems Skills,44,39,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",44
Systems Evaluation,Systems Skills,44,41,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",44
Management of Personnel Resources,Resource Management Skills,41,36,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officer",41
Active Listening ,Basic Skills,75,57,11-3012.00,Administrative Services Manager,75
Reading Comprehension,Basic Skills,75,57,11-3012.00,Administrative Services Manager,75
Time Management,Resource Management Skills,75,57,11-3012.00,Administrative Services Manager,75
Speaking,Basic Skills,72,55,11-3012.00,Administrative Services Manager,72
Critical Thinking,Basic Skills,69,55,11-3012.00,Administrative Services Manager,69
Writing,Basic Skills,69,54,11-3012.00,Administrative Services Manager,69
Coordination,Social Skills,69,52,11-3012.00,Administrative Services Manager,69
Negotiation,Social Skills,66,46,11-3012.00,Administrative Services Manager,66
Management of Personnel Resources,Resource Management Skills,60,54,11-3012.00,Administrative Services Manager,60
Sevice Orientation,Social Skills,56,46,11-3012.00,Administrative Services Manager,56
Social Perceptiveness,Social Skills,56,54,11-3012.00,Administrative Services Manager,56
Complex Problem Solving,Complex Problem Solving,56,45,11-3012.00,Administrative Services Manager,56
Judgement and Decision Making,Systems Skills,56,45,11-3012.00,Administrative Services Manager,56
Active learning ,Basic Skills,53,48,11-3012.00,Administrative Services Manager,53
Systems Analysis,Systems Skills,53,45,11-3012.00,Administrative Services Manager,53
Learning Strategies,Basic Skills,50,46,11-3012.00,Administrative Services Manager,50
Instructing,Social Skills,50,46,11-3012.00,Administrative Services Manager,50
Persuasion,Social Skills,50,45,11-3012.00,Administrative Services Manager,50
Management of Financial Resources,Resource Management Skills,47,41,11-3012.00,Administrative Services Manager,47
Management of Material Resources,Resource Management Skills,47,41,11-3012.00,Administrative Services Manager,47
Systems Evaluation,Systems Skills,44,45,11-3012.00,Administrative Services Manager,44
Operations Analysis,Technical Skills,44,36,11-3012.00,Administrative Services Manager,44
Instructing,Social Skills,81,57,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",81
Active Listening ,Basic Skills,69,54,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",69
Learning Strategies,Basic Skills,69,55,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",69
Reading Comprehension,Basic Skills,69,55,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",69
Speaking,Basic Skills,69,57,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",69
Writing,Basic Skills,66,55,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",66
Active learning ,Basic Skills,63,46,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",63
Critical Thinking,Basic Skills,63,50,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",63
Social Perceptiveness,Social Skills,63,54,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",63
Sevice Orientation,Social Skills,60,45,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",60
Judgement and Decision Making,Systems Skills,60,43,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",60
Time Management,Resource Management Skills,56,46,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",56
Complex Problem Solving,Complex Problem Solving,53,43,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",53
Coordination,Social Skills,50,48,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",50
Negotiation,Social Skills,50,45,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",50
Persuasion,Social Skills,47,43,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",47
Systems Analysis,Systems Skills,47,41,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",47
Systems Evaluation,Systems Skills,44,41,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",44
Management of Personnel Resources,Resource Management Skills,41,41,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor",41
Active Listening ,Basic Skills,81,61,29-1141.02,Advanced Practice Psychiatric Nurse,81
Social Perceptiveness,Social Skills,81,64,29-1141.02,Advanced Practice Psychiatric Nurse,81
Critical Thinking,Basic Skills,75,57,29-1141.02,Advanced Practice Psychiatric Nurse,75
Reading Comprehension,Basic Skills,75,61,29-1141.02,Advanced Practice Psychiatric Nurse,75
Speaking,Basic Skills,75,57,29-1141.02,Advanced Practice Psychiatric Nurse,75
Active learning ,Basic Skills,72,57,29-1141.02,Advanced Practice Psychiatric Nurse,72
Writing,Basic Skills,72,57,29-1141.02,Advanced Practice Psychiatric Nurse,72
Sevice Orientation,Social Skills,72,54,29-1141.02,Advanced Practice Psychiatric Nurse,72
Judgement and Decision Making,Systems Skills,72,54,29-1141.02,Advanced Practice Psychiatric Nurse,72
Learning Strategies,Basic Skills,69,52,29-1141.02,Advanced Practice Psychiatric Nurse,69
Instructing,Social Skills,69,46,29-1141.02,Advanced Practice Psychiatric Nurse,69
Complex Problem Solving,Complex Problem Solving,69,48,29-1141.02,Advanced Practice Psychiatric Nurse,69
Coordination,Social Skills,66,55,29-1141.02,Advanced Practice Psychiatric Nurse,66
Negotiation,Social Skills,66,54,29-1141.02,Advanced Practice Psychiatric Nurse,66
Time Management,Resource Management Skills,66,50,29-1141.02,Advanced Practice Psychiatric Nurse,66
Persuasion,Social Skills,63,52,29-1141.02,Advanced Practice Psychiatric Nurse,63
Systems Analysis,Systems Skills,60,45,29-1141.02,Advanced Practice Psychiatric Nurse,60
Systems Evaluation,Systems Skills,56,45,29-1141.02,Advanced Practice Psychiatric Nurse,56
Management of Personnel Resources,Resource Management Skills,47,41,29-1141.02,Advanced Practice Psychiatric Nurse,47
Science,Basic Skills,44,39,29-1141.02,Advanced Practice Psychiatric Nurse,44
Active Listening ,Basic Skills,78,59,11-2011.00,Advertising and Promotions Manager,78
Critical Thinking,Basic Skills,75,59,11-2011.00,Advertising and Promotions Manager,75
Speaking,Basic Skills,75,59,11-2011.00,Advertising and Promotions Manager,75
Social Perceptiveness,Social Skills,75,57,11-2011.00,Advertising and Promotions Manager,75
Reading Comprehension,Basic Skills,69,57,11-2011.00,Advertising and Promotions Manager,69
Writing,Basic Skills,69,55,11-2011.00,Advertising and Promotions Manager,69
Judgement and Decision Making,Systems Skills,69,57,11-2011.00,Advertising and Promotions Manager,69
Coordination,Social Skills,63,59,11-2011.00,Advertising and Promotions Manager,63
Complex Problem Solving,Complex Problem Solving,63,55,11-2011.00,Advertising and Promotions Manager,63
Time Management,Resource Management Skills,63,55,11-2011.00,Advertising and Promotions Manager,63
Persuasion,Social Skills,60,55,11-2011.00,Advertising and Promotions Manager,60
Active learning ,Basic Skills,56,59,11-2011.00,Advertising and Promotions Manager,56
Negotiation,Social Skills,53,54,11-2011.00,Advertising and Promotions Manager,53
Sevice Orientation,Social Skills,53,46,11-2011.00,Advertising and Promotions Manager,53
Management of Personnel Resources,Resource Management Skills,53,55,11-2011.00,Advertising and Promotions Manager,53
Systems Analysis,Systems Skills,53,45,11-2011.00,Advertising and Promotions Manager,53
Systems Evaluation,Systems Skills,53,54,11-2011.00,Advertising and Promotions Manager,53
Learning Strategies,Basic Skills,50,46,11-2011.00,Advertising and Promotions Manager,50
Instructing,Social Skills,47,43,11-2011.00,Advertising and Promotions Manager,47
Management of Financial Resources,Resource Management Skills,44,52,11-2011.00,Advertising and Promotions Manager,44
Operations Analysis,Technical Skills,44,45,11-2011.00,Advertising and Promotions Manager,44
Management of Material Resources,Resource Management Skills,41,37,11-2011.00,Advertising and Promotions Manager,41
Speaking,Basic Skills,78,57,41-3011.00,Advertising Sales Agent,78
Persuasion,Social Skills,75,57,41-3011.00,Advertising Sales Agent,75
Sevice Orientation,Social Skills,72,54,41-3011.00,Advertising Sales Agent,72
Social Perceptiveness,Social Skills,72,52,41-3011.00,Advertising Sales Agent,72
Active Listening ,Basic Skills,69,57,41-3011.00,Advertising Sales Agent,69
Negotiation,Social Skills,69,55,41-3011.00,Advertising Sales Agent,69
Reading Comprehension,Basic Skills,60,55,41-3011.00,Advertising Sales Agent,60
Critical Thinking,Basic Skills,56,54,41-3011.00,Advertising Sales Agent,56
Judgement and Decision Making,Systems Skills,56,46,41-3011.00,Advertising Sales Agent,56
Writing,Basic Skills,53,48,41-3011.00,Advertising Sales Agent,53
Coordination,Social Skills,53,46,41-3011.00,Advertising Sales Agent,53
Complex Problem Solving,Complex Problem Solving,50,45,41-3011.00,Advertising Sales Agent,50
Time Management,Resource Management Skills,50,43,41-3011.00,Advertising Sales Agent,50
Systems Analysis,Systems Skills,50,41,41-3011.00,Advertising Sales Agent,50
Active learning ,Basic Skills,47,52,41-3011.00,Advertising Sales Agent,47
Learning Strategies,Basic Skills,41,37,41-3011.00,Advertising Sales Agent,41
Critical Thinking,Basic Skills,78,66,17-2011.00,Aerospace Engineer,78
Reading Comprehension,Basic Skills,75,71,17-2011.00,Aerospace Engineer,75
Science,Basic Skills,75,73,17-2011.00,Aerospace Engineer,75
Active Listening ,Basic Skills,72,59,17-2011.00,Aerospace Engineer,72
Speaking,Basic Skills,72,61,17-2011.00,Aerospace Engineer,72
Writing,Basic Skills,72,64,17-2011.00,Aerospace Engineer,72
Complex Problem Solving,Complex Problem Solving,72,61,17-2011.00,Aerospace Engineer,72
Operations Analysis,Technical Skills,72,71,17-2011.00,Aerospace Engineer,72
Judgement and Decision Making,Systems Skills,69,55,17-2011.00,Aerospace Engineer,69
Active learning ,Basic Skills,66,55,17-2011.00,Aerospace Engineer,66
Systems Evaluation,Systems Skills,63,55,17-2011.00,Aerospace Engineer,63
Learning Strategies,Basic Skills,60,54,17-2011.00,Aerospace Engineer,60
Systems Analysis,Systems Skills,60,57,17-2011.00,Aerospace Engineer,60
Coordination,Social Skills,56,50,17-2011.00,Aerospace Engineer,56
Time Management,Resource Management Skills,56,50,17-2011.00,Aerospace Engineer,56
Quality Control Analysis,Technical Skills,56,55,17-2011.00,Aerospace Engineer,56
Technology Design,Technical Skills,56,54,17-2011.00,Aerospace Engineer,56
Persuasion,Social Skills,53,45,17-2011.00,Aerospace Engineer,53
Instructing,Social Skills,50,46,17-2011.00,Aerospace Engineer,50
Negotiation,Social Skills,50,43,17-2011.00,Aerospace Engineer,50
Social Perceptiveness,Social Skills,50,45,17-2011.00,Aerospace Engineer,50
Sevice Orientation,Social Skills,47,39,17-2011.00,Aerospace Engineer,47
Operation Monitoring,Technical Skills,47,43,17-2011.00,Aerospace Engineer,47
Management of Personnel Resources,Resource Management Skills,44,43,17-2011.00,Aerospace Engineer,44
Critical Thinking,Basic Skills,72,57,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,72
Reading Comprehension,Basic Skills,69,54,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,69
Operation Monitoring,Technical Skills,69,50,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,69
Quality Control Analysis,Technical Skills,69,52,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,69
Active Listening ,Basic Skills,66,55,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,66
Speaking,Basic Skills,66,45,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,66
Complex Problem Solving,Complex Problem Solving,63,48,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,63
Judgement and Decision Making,Systems Skills,56,46,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,56
Troubleshooting,Technical Skills,56,45,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,56
Science,Basic Skills,53,54,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,53
Writing,Basic Skills,53,45,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,53
Time Management,Resource Management Skills,53,46,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,53
Active learning ,Basic Skills,50,43,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,50
Systems Analysis,Systems Skills,50,45,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,50
Systems Evaluation,Systems Skills,50,45,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,50
Operation and Control,Technical Skills,50,41,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,50
Repairing,Technical Skills,50,43,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,50
Learning Strategies,Basic Skills,47,41,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,47
Coordination,Social Skills,47,41,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,47
Social Perceptiveness,Social Skills,47,43,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,47
Equipment Maintenance,Technical Skills,47,48,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,47
Instructing,Social Skills,44,43,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,44
Operations Analysis,Technical Skills,44,39,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,44
Persuasion,Social Skills,41,41,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,41
Sevice Orientation,Social Skills,41,39,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,41
Equipment Selection,Technical Skills,41,34,17-3021.00,Aerospace Engineering and Operations Technologists and Technician,41
Active Listening ,Basic Skills,75,57,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",75
Reading Comprehension,Basic Skills,75,57,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",75
Speaking,Basic Skills,75,57,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",75
Negotiation,Social Skills,75,57,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",75
Persuasion,Social Skills,75,59,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",75
Social Perceptiveness,Social Skills,72,50,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",72
Critical Thinking,Basic Skills,69,54,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",69
Coordination,Social Skills,69,54,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",69
Time Management,Resource Management Skills,69,48,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",69
Writing,Basic Skills,66,55,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",66
Active learning ,Basic Skills,63,50,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",63
Complex Problem Solving,Complex Problem Solving,60,48,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",60
Judgement and Decision Making,Systems Skills,53,54,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",53
Sevice Orientation,Social Skills,50,48,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",50
Instructing,Social Skills,47,41,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",47
Management of Personnel Resources,Resource Management Skills,47,45,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",47
Learning Strategies,Basic Skills,41,39,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athlete",41
Critical Thinking,Basic Skills,78,61,17-2021.00,Agricultural Engineer,78
Active Listening ,Basic Skills,75,57,17-2021.00,Agricultural Engineer,75
Reading Comprehension,Basic Skills,75,66,17-2021.00,Agricultural Engineer,75
Complex Problem Solving,Complex Problem Solving,75,63,17-2021.00,Agricultural Engineer,75
Judgement and Decision Making,Systems Skills,75,57,17-2021.00,Agricultural Engineer,75
Speaking,Basic Skills,72,57,17-2021.00,Agricultural Engineer,72
Writing,Basic Skills,72,61,17-2021.00,Agricultural Engineer,72
Systems Analysis,Systems Skills,72,55,17-2021.00,Agricultural Engineer,72
Systems Evaluation,Systems Skills,72,55,17-2021.00,Agricultural Engineer,72
Science,Basic Skills,60,48,17-2021.00,Agricultural Engineer,60
Active learning ,Basic Skills,56,55,17-2021.00,Agricultural Engineer,56
Social Perceptiveness,Social Skills,56,46,17-2021.00,Agricultural Engineer,56
Time Management,Resource Management Skills,56,52,17-2021.00,Agricultural Engineer,56
Operation Monitoring,Technical Skills,56,46,17-2021.00,Agricultural Engineer,56
Coordination,Social Skills,53,46,17-2021.00,Agricultural Engineer,53
Instructing,Social Skills,50,46,17-2021.00,Agricultural Engineer,50
Negotiation,Social Skills,50,43,17-2021.00,Agricultural Engineer,50
Persuasion,Social Skills,50,45,17-2021.00,Agricultural Engineer,50
